Splitting dataset into train/validation...
Train: 12418, Val: 1380
{'loss': 0.083, 'grad_norm': 0.22121499478816986, 'learning_rate': 0.00011719253058596267, 'epoch': 1.24}
{'loss': 0.0585, 'grad_norm': 0.3161621391773224, 'learning_rate': 0.00011676325391714962, 'epoch': 1.25}
{'loss': 0.0768, 'grad_norm': 0.25944894552230835, 'learning_rate': 0.00011633397724833657, 'epoch': 1.26}
{'loss': 0.087, 'grad_norm': 0.3631124198436737, 'learning_rate': 0.00011590470057952352, 'epoch': 1.26}
{'loss': 0.0964, 'grad_norm': 0.3000771701335907, 'learning_rate': 0.00011547542391071046, 'epoch': 1.27}
{'loss': 0.1276, 'grad_norm': 0.25178202986717224, 'learning_rate': 0.00011504614724189742, 'epoch': 1.28}
{'loss': 0.0743, 'grad_norm': 0.23525454103946686, 'learning_rate': 0.00011461687057308437, 'epoch': 1.28}
{'loss': 0.0811, 'grad_norm': 0.2718082666397095, 'learning_rate': 0.00011418759390427131, 'epoch': 1.29}
{'eval_loss': 0.09762077033519745, 'eval_runtime': 140.8175, 'eval_samples_per_second': 9.8, 'eval_steps_per_second': 4.9, 'epoch': 1.29}
{'loss': 0.0682, 'grad_norm': 0.21537154912948608, 'learning_rate': 0.00011375831723545827, 'epoch': 1.29}
{'loss': 0.0815, 'grad_norm': 0.33327555656433105, 'learning_rate': 0.00011332904056664522, 'epoch': 1.3}
{'loss': 0.1008, 'grad_norm': 0.2552468478679657, 'learning_rate': 0.00011289976389783216, 'epoch': 1.31}
{'loss': 0.1095, 'grad_norm': 0.34784501791000366, 'learning_rate': 0.00011247048722901912, 'epoch': 1.31}
